timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1731304379.0508010,,,,,,,,,,,,,nan,119831500.0,nan
1731304379.0663979,,,,,,,,,,,,,nan,119838750.0,nan
1731304379.0819950,,,,,,,,,,,,,nan,119824250.0,nan
1731304379.0840313,812.71063,782.0879,796.1905,819.5604,nan,nan,,,,,,,,,
1731304379.0879371,787.326,786.52014,794.57874,784.10254,nan,nan,,,,,,,,,
1731304379.0918429,840.5128,793.7729,799.81683,839.707,nan,nan,,,,,,,,,
1731304379.0957484,878.3883,799.41394,800.6227,880.80585,nan,nan,,,,,,,,,
1731304379.0975919,,,,,,,,,,,,,nan,119837950.0,nan
1731304379.0996542,841.31866,794.17584,782.49084,836.8865,nan,nan,,,,,,,,,
1731304379.1035600,777.6557,792.96704,775.64105,787.72894,nan,nan,,,,,,,,,
1731304379.1074657,814.7253,795.78754,784.10254,836.08057,nan,nan,,,,,,,,,
1731304379.1083782,,,,,,,0.291687,0.19439697,0.9260254,,,,,,
1731304379.1113715,877.98535,796.99634,784.90845,880.0,nan,nan,,,,,,,,,
1731304379.1131887,,,,,,,,,,,,,nan,119808936.0,nan
1731304379.1152771,849.3773,795.38464,794.17584,839.707,nan,nan,,,,,,,,,
1731304379.1191828,781.28204,792.5641,774.83514,782.49084,nan,nan,,,,,,,,,
1731304379.1230886,785.31134,789.7436,768.7912,797.8022,nan,nan,,,,,,,,,
1731304379.1269944,853.8095,783.2967,777.6557,863.47986,nan,nan,,,,,,,,,
1731304379.1272435,,,,,,,0.29052734,0.1930542,0.9269409,,,,,,
1731304379.1287858,,,,,,,,,,,,,nan,119837144.0,nan
1731304379.1308999,867.9121,782.8938,772.4176,863.8828,nan,nan,,,,,,,,,
1731304379.1348057,798.20514,784.5055,769.59705,800.6227,nan,nan,,,,,,,,,
1731304379.1387115,764.35895,784.10254,768.7912,784.90845,nan,nan,,,,,,,,,
1731304379.1426172,826.0073,790.14655,786.52014,837.28937,nan,nan,,,,,,,,,
1731304379.1443827,,,,,,,,,,,,,nan,119866150.0,nan
1731304379.1461086,,,,,,,0.29327393,0.19555664,0.92523193,,,,,,
1731304379.1465230,863.0769,792.96704,786.1172,868.315,nan,nan,,,,,,,,,
1731304379.1504285,824.3956,791.75824,772.8205,824.3956,nan,nan,,,,,,,,,
1731304379.1543343,776.04395,792.96704,775.64105,780.4762,nan,nan,,,,,,,,,
1731304379.1582401,796.99634,794.9817,784.10254,805.8608,nan,nan,,,,,,,,,
1731304379.1599796,,,,,,,,,,,,,nan,119843590.0,nan
1731304379.1621459,863.0769,789.34064,790.9524,867.50916,nan,nan,,,,,,,,,
1731304379.1649740,,,,,,,0.29162598,0.19403076,0.92437744,,,,,,
1731304379.1660516,850.58606,792.96704,780.07324,850.58606,nan,nan,,,,,,,,,
1731304379.1699572,772.01465,801.02563,764.7619,778.0586,nan,nan,,,,,,,,,
1731304379.1738629,777.25275,800.6227,774.83514,785.7143,nan,nan,,,,,,,,,
1731304379.1755764,,,,,,,,,,,,,nan,119907256.0,nan
1731304379.1777687,855.82416,799.41394,778.46155,840.10986,nan,nan,,,,,,,,,
1731304379.1816745,861.8681,808.68134,775.2381,846.55676,nan,nan,,,,,,,,,
1731304379.1838393,,,,,,,0.29205322,0.19604492,0.9298706,,,,,,
1731304379.1855803,788.5348,807.0696,778.46155,796.1905,nan,nan,,,,,,,,,
1731304379.1860826,,,,,,,,,,1629450.5,1606886.5,,,,
1731304379.1894858,778.0586,799.011,784.5055,775.64105,nan,nan,,,,,,,,,
1731304379.1911736,,,,,,,,,,,,,nan,119841176.0,nan
1731304379.1933916,843.3333,799.011,787.326,840.10986,nan,nan,,,,,,,,,
1731304379.1972973,868.315,799.41394,771.6117,868.71796,nan,nan,,,,,,,,,
1731304379.2012031,820.3663,799.81683,764.7619,823.1868,nan,nan,,,,,,,,,
1731304379.2027044,,,,,,,0.29315186,0.19543457,0.9259033,,,,,,
1731304379.2051086,774.43225,806.26373,769.19415,772.8205,nan,nan,,,,,,,,,
1731304379.2067704,,,,,,,,,,,,,nan,119862130.0,nan
1731304379.2090144,819.9634,812.71063,774.43225,807.47253,nan,nan,,,,,,,,,
1731304379.2129202,865.89746,800.2198,784.5055,860.65936,nan,nan,,,,,,,,,
1731304379.2168260,823.1868,795.78754,785.7143,829.6337,nan,nan,,,,,,,,,
1731304379.2207317,769.19415,805.4579,778.0586,780.87915,nan,nan,,,,,,,,,
1731304379.2210000,,,,,,,,,,1629450.5,1607692.2,,,,
1731304379.2215698,,,,,,,0.29296875,0.19812012,0.92852783,,,,,,
1731304379.2223673,,,,,,,,,,,,,nan,119866960.0,nan
1731304379.2246373,810.293,808.2784,777.25275,802.23444,nan,nan,,,,,,,,,
1731304379.2285430,877.1795,804.65204,787.72894,869.5238,nan,nan,,,,,,,,,
1731304379.2324488,843.73627,805.4579,788.5348,853.00366,nan,nan,,,,,,,,,
1731304379.2363546,766.77655,807.8755,780.87915,782.0879,nan,nan,,,,,,,,,
1731304379.2379644,,,,,,,,,,,,,nan,119862930.0,nan
1731304379.2402604,792.1612,809.4872,775.64105,788.5348,nan,nan,,,,,,,,,
1731304379.2404351,,,,,,,0.28704834,0.1954956,0.9272461,,,,,,
1731304379.2441659,862.27106,807.0696,778.46155,843.3333,nan,nan,,,,,,,,,
1731304379.2480717,849.7802,799.41394,781.28204,839.304,nan,nan,,,,,,,,,
1731304379.2519774,790.54944,798.60803,774.83514,789.7436,nan,nan,,,,,,,,,
1731304379.2535613,,,,,,,,,,,,,nan,119870184.0,nan
1731304379.2558832,778.0586,803.44324,767.98535,781.28204,nan,nan,,,,,,,,,
1731304379.2559171,,,,,,,,,,1629450.5,1607692.2,,,,
1731304379.2593002,,,,,,,0.28955078,0.1942749,0.92248535,,,,,,
1731304379.2597890,832.4542,805.05493,766.3736,829.6337,nan,nan,,,,,,,,,
1731304379.2636945,859.85345,804.2491,778.0586,844.5421,nan,nan,,,,,,,,,
1731304379.2676003,808.68134,799.41394,780.07324,790.54944,nan,nan,,,,,,,,,
1731304379.2691581,,,,,,,,,,,,,nan,119870184.0,nan
1731304379.2715061,765.16486,784.90845,776.04395,762.3443,nan,nan,,,,,,,,,
1731304379.2754118,815.12823,780.07324,785.31134,803.8461,nan,nan,,,,,,,,,
1731304379.2781656,,,,,,,0.2890625,0.19281006,0.9187012,,,,,,
1731304379.2793174,880.0,784.10254,784.5055,842.52747,nan,nan,,,,,,,,,
1731304379.2832232,853.4066,789.7436,770.40295,816.337,nan,nan,,,,,,,,,
1731304379.2847552,,,,,,,,,,,,,nan,119883080.0,nan
1731304379.2871289,784.5055,787.326,762.74725,770.0,nan,nan,,,,,,,,,
1731304379.2908344,,,,,,,,,,1629450.5,1606886.5,,,,
1731304379.2910347,808.2784,782.0879,767.98535,797.3993,nan,nan,,,,,,,,,
1731304379.2949405,873.5531,786.52014,770.40295,843.3333,nan,nan,,,,,,,,,
1731304379.2970309,,,,,,,0.29180908,0.19171143,0.9276123,,,,,,
1731304379.2988460,850.18317,787.326,772.01465,823.5897,nan,nan,,,,,,,,,
1731304379.3003521,,,,,,,,,,,,,nan,119854060.0,nan
1731304379.3027518,772.01465,784.5055,761.53845,772.8205,nan,nan,,,,,,,,,
1731304379.3066576,764.7619,777.25275,771.2088,782.0879,nan,nan,,,,,,,,,
1731304379.3105633,837.28937,771.2088,792.5641,826.0073,nan,nan,,,,,,,,,
1731304379.3144691,863.47986,777.6557,786.52014,829.2308,nan,nan,,,,,,,,,
1731304379.3158960,,,,,,,0.28936768,0.18823242,0.9246216,,,,,,
1731304379.3159490,,,,,,,,,,,,,nan,119836340.0,nan
1731304379.3183746,786.1172,773.6264,783.2967,777.6557,nan,nan,,,,,,,,,
1731304379.3222804,769.19415,769.19415,780.07324,749.85345,nan,nan,,,,,,,,,
1731304379.3257515,,,,,,,,,,1629450.5,1606886.5,,,,
1731304379.3261862,850.58606,776.4469,779.2674,815.12823,nan,nan,,,,,,,,,
1731304379.3300920,856.63007,775.2381,780.4762,854.21246,nan,nan,,,,,,,,,
1731304379.3315458,,,,,,,,,,,,,nan,119825864.0,nan
1731304379.3339977,800.6227,765.9707,785.31134,813.1135,nan,nan,,,,,,,,,
1731304379.3347614,,,,,,,0.28503418,0.18634033,0.916626,,,,,,
1731304379.3379033,756.30035,759.92676,791.75824,777.25275,nan,nan,,,,,,,,,
1731304379.3418090,792.1612,761.53845,790.9524,808.68134,nan,nan,,,,,,,,,
1731304379.3457148,873.95605,763.5531,782.49084,872.74725,nan,nan,,,,,,,,,
1731304379.3471429,,,,,,,,,,,,,nan,119814580.0,nan
1731304379.3496206,861.4652,759.12085,784.90845,875.56775,nan,nan,,,,,,,,,
1731304379.3535261,760.7326,763.1502,796.99634,786.1172,nan,nan,,,,,,,,,
1731304379.3536267,,,,,,,0.2791748,0.17993164,0.91851807,,,,,,
1731304379.3574319,763.95605,772.4176,793.7729,760.32965,nan,nan,,,,,,,,,
1731304379.3606689,,,,,,,,,,1629450.5,1607692.2,,,,
1731304379.3613377,855.82416,765.9707,798.20514,850.18317,nan,nan,,,,,,,,,
1731304379.3627398,,,,,,,,,,,,,nan,119824250.0,nan
1731304379.3652434,842.9304,760.7326,802.23444,854.61536,nan,nan,,,,,,,,,
1731304379.3691492,757.9121,764.7619,804.2491,789.7436,nan,nan,,,,,,,,,
1731304379.3724918,,,,,,,0.28710938,0.1829834,0.9227295,,,,,,
1731304379.3730547,771.6117,762.74725,808.68134,793.7729,nan,nan,,,,,,,,,
