timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730001729.9440849,,,,,,,0.21600342,0.05291748,0.9616699,,,,,,
1730001729.9580913,,,,,,,,,,,,,nan,191556340.0,nan
1730001729.9630001,,,,,,,0.21258545,0.05596924,0.96380615,,,,,,
1730001729.9736667,,,,,,,,,,,,,nan,191615170.0,nan
1730001729.9760339,823.9927,819.9634,835.6777,831.6484,nan,nan,,,,,,,,,
1730001729.9799318,828.022,823.1868,681.75824,815.9341,nan,nan,,,,,,,,,
1730001729.9819152,,,,,,,0.2111206,0.06036377,0.9649048,,,,,,
1730001729.9838297,837.6923,819.5604,534.68866,810.293,nan,nan,,,,,,,,,
1730001729.9877274,837.6923,821.1722,656.3736,824.7985,nan,nan,,,,,,,,,
1730001729.9892418,,,,,,,,,,,,,nan,191685280.0,nan
1730001729.9916253,839.707,826.0073,646.30035,834.0659,nan,nan,,,,,,,,,
1730001729.9955232,840.10986,818.7546,512.9304,819.9634,nan,nan,,,,,,,,,
1730001729.9994211,835.2747,808.2784,409.3773,808.68134,nan,nan,,,,,,,,,
1730001730.0008304,,,,,,,0.21246338,0.059326172,0.9621582,,,,,,
1730001730.0033190,850.58606,813.5165,615.2747,830.84247,nan,nan,,,,,,,,,
1730001730.0048172,,,,,,,,,,,,,nan,191729600.0,nan
1730001730.0072167,845.7509,813.5165,817.5458,815.12823,nan,nan,,,,,,,,,
1730001730.0111146,829.2308,804.2491,655.16486,806.26373,nan,nan,,,,,,,,,
1730001730.0150125,834.0659,810.293,508.49817,815.5311,nan,nan,,,,,,,,,
1730001730.0189104,839.304,816.7399,636.63007,820.3663,nan,nan,,,,,,,,,
1730001730.0197456,,,,,,,0.20892334,0.058654785,0.96765137,,,,,,
1730001730.0203924,,,,,,,,,,,,,nan,191727980.0,nan
1730001730.0228083,839.707,819.15753,731.31866,824.7985,nan,nan,,,,,,,,,
1730001730.0267062,830.4396,820.3663,667.6557,813.91943,nan,nan,,,,,,,,,
1730001730.0306039,818.3516,821.5751,608.8278,816.337,nan,nan,,,,,,,,,
1730001730.0345018,809.4872,816.337,576.1905,813.5165,nan,nan,,,,,,,,,
1730001730.0359678,,,,,,,,,,,,,nan,191794060.0,nan
1730001730.0383997,805.8608,815.9341,631.39197,806.26373,nan,nan,,,,,,,,,
1730001730.0386608,,,,,,,0.21020508,0.056762695,0.96307373,,,,,,
1730001730.0422976,803.44324,818.3516,493.58975,818.3516,nan,nan,,,,,,,,,
1730001730.0461955,809.89014,816.7399,425.4945,819.5604,nan,nan,,,,,,,,,
1730001730.0500932,807.47253,817.1429,612.8571,802.23444,nan,nan,,,,,,,,,
1730001730.0515432,,,,,,,,,,,,,nan,191832750.0,nan
1730001730.0539911,814.3223,817.5458,685.78754,812.71063,nan,nan,,,,,,,,,
1730001730.0575759,,,,,,,0.21466064,0.058288574,0.9647827,,,,,,
1730001730.0578890,812.3077,817.9487,620.10986,836.4835,nan,nan,,,,,,,,,
1730001730.0617869,799.81683,817.9487,614.87177,818.3516,nan,nan,,,,,,,,,
1730001730.0656848,804.65204,824.3956,640.2564,792.5641,nan,nan,,,,,,,,,
1730001730.0671184,,,,,,,,,,,,,nan,191852900.0,nan
1730001730.0695825,817.9487,822.381,620.5128,811.50183,nan,nan,,,,,,,,,
1730001730.0734804,809.89014,819.15753,647.1062,827.2161,nan,nan,,,,,,,,,
1730001730.0764914,,,,,,,0.21252441,0.052368164,0.9619751,,,,,,
1730001730.0773783,791.75824,821.978,666.04395,822.381,nan,nan,,,,,,,,,
1730001730.0812762,790.14655,826.4103,630.18317,831.6484,nan,nan,,,,,,,,,
1730001730.0826938,,,,,,,,,,,,,nan,191910110.0,nan
1730001730.0851741,797.3993,822.381,562.49084,846.9597,nan,nan,,,,,,,,,
1730001730.0890718,802.6374,823.9927,526.63007,846.55676,nan,nan,,,,,,,,,
1730001730.0907636,,,,,,,,,,1622197.8,1607692.2,,,,
1730001730.0929697,785.7143,824.3956,605.2015,835.2747,nan,nan,,,,,,,,,
