timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730218684.3991871,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.4343331,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.4694791,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.5046251,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.5150928,826.0073,815.9341,810.696,807.47253,nan,nan,,,,,,,,,
1730218684.5190003,841.31866,810.293,805.05493,810.293,nan,nan,,,,,,,,,
1730218684.5229075,828.4249,809.89014,792.1612,810.293,nan,nan,,,,,,,,,
1730218684.5268149,812.3077,814.7253,801.02563,807.0696,nan,nan,,,,,,,,,
1730218684.5307221,818.3516,815.5311,805.8608,808.68134,nan,nan,,,,,,,,,
1730218684.5328321,,,,,,,,,,,,,nan,107115016.0,nan
1730218684.5346296,827.2161,815.12823,788.1319,810.696,nan,nan,,,,,,,,,
1730218684.5385368,829.2308,809.89014,782.8938,812.71063,nan,nan,,,,,,,,,
1730218684.5397711,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.5424442,817.1429,812.3077,799.81683,811.9048,nan,nan,,,,,,,,,
1730218684.5447648,,,,,,,0.12243652,0.2130127,0.9633179,,,,,,
1730218684.5463514,815.9341,816.7399,801.8315,811.9048,nan,nan,,,,,,,,,
1730218684.5484579,,,,,,,,,,,,,nan,107117430.0,nan
1730218684.5502589,821.5751,807.8755,780.87915,812.3077,nan,nan,,,,,,,,,
1730218684.5541661,826.4103,807.47253,787.72894,820.3663,nan,nan,,,,,,,,,
1730218684.5580735,821.5751,821.1722,807.0696,822.7839,nan,nan,,,,,,,,,
1730218684.5619807,818.3516,810.696,802.6374,817.1429,nan,nan,,,,,,,,,
1730218684.5636666,,,,,,,0.12017822,0.21246338,0.95751953,,,,,,
1730218684.5640838,,,,,,,,,,,,,nan,107159340.0,nan
1730218684.5658882,820.7692,797.8022,803.44324,814.7253,nan,nan,,,,,,,,,
1730218684.5697956,831.6484,806.26373,809.0842,820.7692,nan,nan,,,,,,,,,
1730218684.5737028,830.0366,814.7253,811.50183,826.8132,nan,nan,,,,,,,,,
1730218684.5749173,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.5776103,818.7546,807.8755,807.8755,818.3516,nan,nan,,,,,,,,,
1730218684.5797095,,,,,,,,,,,,,nan,107127910.0,nan
1730218684.5815175,812.3077,799.011,780.4762,810.293,nan,nan,,,,,,,,,
1730218684.5825684,,,,,,,0.118774414,0.2166748,0.95666504,,,,,,
1730218684.5854249,818.7546,807.0696,793.7729,812.71063,nan,nan,,,,,,,,,
1730218684.5893321,812.3077,808.68134,811.50183,813.1135,nan,nan,,,,,,,,,
1730218684.5932395,800.2198,794.57874,791.3553,815.5311,nan,nan,,,,,,,,,
1730218684.5953355,,,,,,,,,,,,,nan,107122270.0,nan
1730218684.5971467,808.2784,792.96704,781.685,808.2784,nan,nan,,,,,,,,,
1730218684.6010542,823.9927,803.8461,794.9817,812.3077,nan,nan,,,,,,,,,
1730218684.6014700,,,,,,,0.11590576,0.21105957,0.9595947,,,,,,
1730218684.6049614,830.4396,807.8755,810.696,820.3663,nan,nan,,,,,,,,,
1730218684.6088688,818.7546,804.65204,796.1905,813.5165,nan,nan,,,,,,,,,
1730218684.6100633,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.6109612,,,,,,,,,,,,,nan,107069090.0,nan
1730218684.6127760,815.9341,803.0403,791.75824,816.7399,nan,nan,,,,,,,,,
1730218684.6166835,824.7985,804.2491,800.6227,819.9634,nan,nan,,,,,,,,,
1730218684.6203718,,,,,,,0.10858154,0.20928955,0.9630127,,,,,,
1730218684.6205909,832.0513,805.4579,798.60803,816.7399,nan,nan,,,,,,,,,
1730218684.6244981,819.9634,803.8461,785.7143,815.12823,nan,nan,,,,,,,,,
1730218684.6265869,,,,,,,,,,,,,nan,107051350.0,nan
1730218684.6284056,815.12823,805.4579,786.52014,817.9487,nan,nan,,,,,,,,,
1730218684.6323128,821.978,807.47253,799.011,819.15753,nan,nan,,,,,,,,,
1730218684.6362202,834.87177,809.0842,805.05493,819.9634,nan,nan,,,,,,,,,
1730218684.6392736,,,,,,,0.10736084,0.20617676,0.9603882,,,,,,
1730218684.6401274,831.2454,806.26373,782.0879,821.978,nan,nan,,,,,,,,,
1730218684.6422129,,,,,,,,,,,,,nan,107029600.0,nan
1730218684.6440349,829.2308,807.47253,769.19415,829.6337,nan,nan,,,,,,,,,
1730218684.6452093,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.6479421,828.8278,811.0989,802.23444,823.9927,nan,nan,,,,,,,,,
1730218684.6518495,834.87177,799.011,811.50183,826.4103,nan,nan,,,,,,,,,
1730218684.6557567,837.6923,802.23444,808.2784,828.022,nan,nan,,,,,,,,,
1730218684.6578386,,,,,,,,,,,,,nan,106989304.0,nan
1730218684.6581755,,,,,,,0.10681152,0.21002197,0.9540405,,,,,,
1730218684.6596642,825.2015,811.0989,816.7399,822.7839,nan,nan,,,,,,,,,
1730218684.6635714,822.381,808.68134,809.0842,822.7839,nan,nan,,,,,,,,,
1730218684.6674788,824.7985,805.4579,797.3993,822.7839,nan,nan,,,,,,,,,
1730218684.6713862,825.2015,801.02563,797.8022,826.8132,nan,nan,,,,,,,,,
1730218684.6734643,,,,,,,,,,,,,nan,106961096.0,nan
1730218684.6752934,817.9487,801.8315,793.7729,826.0073,nan,nan,,,,,,,,,
1730218684.6770771,,,,,,,0.10986328,0.20843506,0.9576416,,,,,,
1730218684.6792009,816.337,804.65204,795.78754,828.4249,nan,nan,,,,,,,,,
1730218684.6803553,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.6831081,826.4103,808.68134,794.9817,821.5751,nan,nan,,,,,,,,,
1730218684.6870155,839.304,801.8315,784.5055,823.5897,nan,nan,,,,,,,,,
1730218684.6890903,,,,,,,,,,,,,nan,106953040.0,nan
1730218684.6909227,828.4249,801.8315,798.20514,828.4249,nan,nan,,,,,,,,,
1730218684.6948302,825.2015,813.1135,808.2784,819.9634,nan,nan,,,,,,,,,
1730218684.6959789,,,,,,,0.10974121,0.20697021,0.96533203,,,,,,
1730218684.6987374,833.2601,804.2491,786.1172,807.8755,nan,nan,,,,,,,,,
1730218684.7026448,847.3626,806.6667,797.8022,806.26373,nan,nan,,,,,,,,,
1730218684.7047160,,,,,,,,,,,,,nan,106909520.0,nan
1730218684.7065520,834.4689,817.1429,812.3077,803.8461,nan,nan,,,,,,,,,
1730218684.7104595,814.3223,811.0989,803.44324,800.2198,nan,nan,,,,,,,,,
1730218684.7143667,825.2015,805.8608,792.1612,806.6667,nan,nan,,,,,,,,,
1730218684.7148807,,,,,,,0.10772705,0.21026611,0.9626465,,,,,,
1730218684.7155013,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.7182741,838.9011,810.293,798.60803,805.8608,nan,nan,,,,,,,,,
1730218684.7203419,,,,,,,,,,,,,nan,106947400.0,nan
1730218684.7221816,832.8571,805.4579,807.47253,808.68134,nan,nan,,,,,,,,,
1730218684.7260888,825.6044,799.81683,793.36993,806.26373,nan,nan,,,,,,,,,
1730218684.7299962,826.8132,798.20514,768.7912,806.26373,nan,nan,,,,,,,,,
1730218684.7337825,,,,,,,0.11151123,0.20648193,0.9561157,,,,,,
1730218684.7339034,836.4835,805.05493,778.46155,817.9487,nan,nan,,,,,,,,,
1730218684.7359676,,,,,,,,,,,,,nan,106916776.0,nan
1730218684.7378109,845.34796,821.5751,820.3663,824.7985,nan,nan,,,,,,,,,
1730218684.7417181,820.3663,814.3223,803.8461,817.5458,nan,nan,,,,,,,,,
1730218684.7456255,813.1135,806.6667,789.34064,811.50183,nan,nan,,,,,,,,,
1730218684.7495327,828.022,815.12823,808.68134,817.1429,nan,nan,,,,,,,,,
1730218684.7506473,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.7515934,,,,,,,,,,,,,nan,106878904.0,nan
1730218684.7526841,,,,,,,0.10760498,0.2098999,0.95928955,,,,,,
1730218684.7534401,834.87177,818.7546,815.12823,819.9634,nan,nan,,,,,,,,,
1730218684.7573473,822.381,813.5165,801.4286,814.7253,nan,nan,,,,,,,,,
1730218684.7612548,821.1722,808.2784,796.5934,811.9048,nan,nan,,,,,,,,,
1730218684.7651620,831.6484,804.2491,796.1905,811.9048,nan,nan,,,,,,,,,
1730218684.7672193,,,,,,,,,,,,,nan,106895820.0,nan
1730218684.7690694,840.9158,809.89014,792.5641,821.1722,nan,nan,,,,,,,,,
1730218684.7715859,,,,,,,0.10180664,0.21258545,0.9598999,,,,,,
1730218684.7729769,829.2308,813.91943,797.8022,815.9341,nan,nan,,,,,,,,,
1730218684.7768841,810.696,803.8461,785.7143,809.4872,nan,nan,,,,,,,,,
1730218684.7807915,819.5604,809.4872,795.78754,810.293,nan,nan,,,,,,,,,
1730218684.7828450,,,,,,,,,,,,,nan,106906300.0,nan
1730218684.7846987,843.73627,824.3956,813.5165,811.50183,nan,nan,,,,,,,,,
1730218684.7857933,,,,,,,,,,1682637.4,1607692.2,,,,
1730218684.7886062,841.31866,821.5751,800.2198,821.5751,nan,nan,,,,,,,,,
1730218684.7904878,,,,,,,0.09246826,0.20501709,0.9562378,,,,,,
1730218684.7925134,821.1722,803.44324,780.07324,817.9487,nan,nan,,,,,,,,,
1730218684.7964208,821.978,805.8608,785.7143,805.8608,nan,nan,,,,,,,,,
1730218684.7984710,,,,,,,,,,,,,nan,106880510.0,nan
1730218684.8003280,835.2747,818.7546,806.6667,805.4579,nan,nan,,,,,,,,,
1730218684.8042355,838.49817,816.7399,804.2491,820.3663,nan,nan,,,,,,,,,
1730218684.8081427,816.337,803.44324,788.93774,813.91943,nan,nan,,,,,,,,,
1730218684.8093896,,,,,,,0.09613037,0.20428467,0.9602661,,,,,,
1730218684.8120501,813.91943,803.44324,796.5934,805.4579,nan,nan,,,,,,,,,
1730218684.8140967,,,,,,,,,,,,,nan,106882130.0,nan
1730218684.8159573,823.5897,815.12823,797.3993,810.293,nan,nan,,,,,,,,,
1730218684.8198647,835.6777,810.293,782.8938,816.7399,nan,nan,,,,,,,,,
1730218684.8209393,,,,,,,,,,1683443.2,1607692.2,,,,
1730218684.8237722,821.978,799.011,776.04395,813.5165,nan,nan,,,,,,,,,
1730218684.8276794,811.9048,809.4872,801.4286,802.6374,nan,nan,,,,,,,,,
1730218684.8282912,,,,,,,0.09814453,0.20672607,0.9666748,,,,,,
1730218684.8297224,,,,,,,,,,,,,nan,106915170.0,nan
1730218684.8315868,820.3663,816.7399,804.2491,802.23444,nan,nan,,,,,,,,,
1730218684.8354940,833.663,812.71063,792.1612,814.7253,nan,nan,,,,,,,,,
1730218684.8394015,830.4396,805.4579,797.8022,815.9341,nan,nan,,,,,,,,,
1730218684.8433087,813.91943,806.26373,796.5934,805.4579,nan,nan,,,,,,,,,
1730218684.8453484,,,,,,,,,,,,,nan,106891790.0,nan
1730218684.8471930,,,,,,,0.10797119,0.20837402,0.9527588,,,,,,
1730218684.8472161,817.5458,808.2784,788.93774,809.4872,nan,nan,,,,,,,,,
1730218684.8511233,832.0513,809.0842,789.34064,816.7399,nan,nan,,,,,,,,,
