timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730219153.0188713,,,,,,,,,,1690696.0,1607692.2,,,,
1730219153.0307426,,,,,,,0.023742676,0.20245361,0.96276855,,,,,,
1730219153.0481315,,,,,,,,,,,,,nan,105320370.0,nan
1730219153.0496287,,,,,,,0.019226074,0.20361328,0.9649048,,,,,,
1730219153.0539997,,,,,,,,,,1690696.0,1607692.2,,,,
1730219153.0637369,,,,,,,,,,,,,nan,105305060.0,nan
1730219153.0685148,,,,,,,0.01953125,0.20288086,0.9666748,,,,,,
1730219153.0713665,783.69965,810.293,813.1135,791.75824,nan,nan,,,,,,,,,
1730219153.0752676,800.6227,813.91943,824.7985,799.81683,nan,nan,,,,,,,,,
1730219153.0791688,842.9304,819.15753,826.8132,828.4249,nan,nan,,,,,,,,,
1730219153.0793426,,,,,,,,,,,,,nan,105305864.0,nan
1730219153.0830698,832.8571,810.293,818.3516,825.2015,nan,nan,,,,,,,,,
1730219153.0869708,780.07324,800.2198,815.9341,797.8022,nan,nan,,,,,,,,,
1730219153.0874009,,,,,,,0.015319824,0.20257568,0.9614258,,,,,,
1730219153.0891283,,,,,,,,,,1690696.0,1607692.2,,,,
1730219153.0908718,793.7729,800.6227,819.9634,810.293,nan,nan,,,,,,,,,
1730219153.0947731,830.0366,802.23444,824.7985,826.4103,nan,nan,,,,,,,,,
1730219153.0949481,,,,,,,,,,,,,nan,105325200.0,nan
1730219153.0986741,830.4396,805.05493,820.7692,821.1722,nan,nan,,,,,,,,,
1730219153.1025751,787.326,807.47253,812.71063,790.54944,nan,nan,,,,,,,,,
1730219153.1062870,,,,,,,0.015014648,0.2020874,0.9644165,,,,,,
1730219153.1064763,785.31134,809.89014,808.68134,784.5055,nan,nan,,,,,,,,,
1730219153.1103773,821.1722,807.0696,813.5165,800.2198,nan,nan,,,,,,,,,
1730219153.1105537,,,,,,,,,,,,,nan,105360660.0,nan
1730219153.1142783,840.9158,809.89014,819.9634,816.7399,nan,nan,,,,,,,,,
1730219153.1181796,805.8608,812.3077,818.7546,801.8315,nan,nan,,,,,,,,,
1730219153.1220806,774.43225,804.2491,810.696,786.1172,nan,nan,,,,,,,,,
1730219153.1242566,,,,,,,,,,1690696.0,1606886.5,,,,
1730219153.1251731,,,,,,,0.005065918,0.20281982,0.9720459,,,,,,
1730219153.1259816,803.0403,808.2784,815.12823,808.2784,nan,nan,,,,,,,,,
1730219153.1261592,,,,,,,,,,,,,nan,105303440.0,nan
1730219153.1298826,840.5128,813.5165,819.9634,827.2161,nan,nan,,,,,,,,,
1730219153.1337838,817.5458,807.8755,809.89014,815.9341,nan,nan,,,,,,,,,
1730219153.1376848,781.685,809.0842,799.81683,791.75824,nan,nan,,,,,,,,,
1730219153.1415858,802.23444,801.8315,805.4579,808.68134,nan,nan,,,,,,,,,
1730219153.1417649,,,,,,,,,,,,,nan,105330040.0,nan
1730219153.1440589,,,,,,,0.0034179688,0.19903564,0.96154785,,,,,,
1730219153.1454871,836.08057,804.2491,824.7985,836.8865,nan,nan,,,,,,,,,
1730219153.1493881,830.84247,815.9341,826.8132,817.5458,nan,nan,,,,,,,,,
1730219153.1532891,783.69965,808.68134,813.91943,786.52014,nan,nan,,,,,,,,,
1730219153.1571903,794.9817,814.7253,818.3516,797.3993,nan,nan,,,,,,,,,
1730219153.1573703,,,,,,,,,,,,,nan,105338100.0,nan
1730219153.1593850,,,,,,,,,,1690696.0,1607692.2,,,,
1730219153.1610913,828.8278,814.7253,823.5897,817.5458,nan,nan,,,,,,,,,
1730219153.1629450,,,,,,,0.008361816,0.20465088,0.9527588,,,,,,
1730219153.1649923,834.87177,811.0989,826.4103,819.5604,nan,nan,,,,,,,,,
1730219153.1688933,796.99634,807.8755,814.7253,798.60803,nan,nan,,,,,,,,,
1730219153.1727946,793.36993,805.8608,808.2784,794.9817,nan,nan,,,,,,,,,
1730219153.1729760,,,,,,,,,,,,,nan,105349380.0,nan
1730219153.1766956,824.7985,807.8755,819.15753,811.9048,nan,nan,,,,,,,,,
1730219153.1805966,843.73627,809.89014,822.381,821.5751,nan,nan,,,,,,,,,
1730219153.1818311,,,,,,,0.012756348,0.20617676,0.9553833,,,,,,
1730219153.1844978,805.05493,803.44324,811.50183,806.26373,nan,nan,,,,,,,,,
1730219153.1883988,771.6117,797.3993,803.0403,794.9817,nan,nan,,,,,,,,,
1730219153.1885815,,,,,,,,,,,,,nan,105376776.0,nan
1730219153.1922998,805.4579,808.68134,809.89014,810.293,nan,nan,,,,,,,,,
1730219153.1945136,,,,,,,,,,1689890.1,1607692.2,,,,
1730219153.1962011,844.1392,820.7692,818.7546,832.8571,nan,nan,,,,,,,,,
1730219153.2001021,826.8132,809.0842,807.0696,824.3956,nan,nan,,,,,,,,,
1730219153.2007172,,,,,,,0.018127441,0.20898438,0.9624634,,,,,,
1730219153.2040031,782.8938,792.96704,794.17584,796.1905,nan,nan,,,,,,,,,
1730219153.2041872,,,,,,,,,,,,,nan,105392900.0,nan
1730219153.2079041,801.8315,804.65204,807.8755,804.2491,nan,nan,,,,,,,,,
1730219153.2118053,844.1392,810.293,821.5751,827.619,nan,nan,,,,,,,,,
1730219153.2157063,845.34796,803.8461,819.15753,832.0513,nan,nan,,,,,,,,,
1730219153.2196033,,,,,,,0.0256958,0.20983887,0.96429443,,,,,,
1730219153.2196074,801.02563,797.8022,807.8755,796.99634,nan,nan,,,,,,,,,
1730219153.2197926,,,,,,,,,,,,,nan,105400140.0,nan
1730219153.2235086,806.26373,804.65204,813.5165,790.14655,nan,nan,,,,,,,,,
1730219153.2274096,836.8865,809.0842,825.2015,814.3223,nan,nan,,,,,,,,,
1730219153.2296419,,,,,,,,,,1690696.0,1607692.2,,,,
1730219153.2313106,845.34796,808.68134,819.5604,821.978,nan,nan,,,,,,,,,
1730219153.2352116,799.011,804.2491,808.2784,800.6227,nan,nan,,,,,,,,,
1730219153.2353981,,,,,,,,,,,,,nan,105416264.0,nan
1730219153.2384894,,,,,,,0.020080566,0.2088623,0.9692993,,,,,,
1730219153.2391129,781.685,801.8315,808.68134,790.54944,nan,nan,,,,,,,,,
1730219153.2430139,819.15753,813.5165,818.3516,811.9048,nan,nan,,,,,,,,,
1730219153.2469149,850.989,812.3077,815.9341,834.87177,nan,nan,,,,,,,,,
1730219153.2508161,819.15753,807.0696,800.2198,819.5604,nan,nan,,,,,,,,,
1730219153.2510037,,,,,,,,,,,,,nan,105443660.0,nan
