timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1730219364.4700971,,,,,,,0.18145752,0.21038818,0.95092773,,,,,,
1730219364.4890001,,,,,,,0.18560791,0.20910645,0.95880127,,,,,,
1730219364.5079031,,,,,,,0.18914795,0.20910645,0.951416,,,,,,
1730219364.5100961,,,,,,,,,,1690696.0,1607692.2,,,,
1730219364.5268061,,,,,,,0.18792725,0.21032715,0.9515991,,,,,,
1730219364.5350657,813.1135,810.293,810.696,814.7253,nan,nan,,,,,,,,,
1730219364.5377252,,,,,,,,,,,,,nan,103616776.0,nan
1730219364.5389674,810.293,810.696,803.8461,816.337,nan,nan,,,,,,,,,
1730219364.5428691,813.91943,811.9048,803.8461,806.6667,nan,nan,,,,,,,,,
1730219364.5452740,,,,,,,,,,1689890.1,1607692.2,,,,
1730219364.5457091,,,,,,,0.18560791,0.20336914,0.9501953,,,,,,
1730219364.5467708,810.696,806.6667,805.8608,801.4286,nan,nan,,,,,,,,,
1730219364.5506725,804.65204,801.02563,803.0403,808.2784,nan,nan,,,,,,,,,
1730219364.5533335,,,,,,,,,,,,,nan,103607100.0,nan
1730219364.5545743,806.26373,809.0842,806.26373,816.337,nan,nan,,,,,,,,,
1730219364.5584760,813.5165,807.0696,812.71063,812.71063,nan,nan,,,,,,,,,
1730219364.5623777,811.50183,803.44324,810.293,804.65204,nan,nan,,,,,,,,,
1730219364.5646122,,,,,,,0.17608643,0.20477295,0.94958496,,,,,,
1730219364.5662794,804.2491,804.2491,805.8608,800.2198,nan,nan,,,,,,,,,
1730219364.5689416,,,,,,,,,,,,,nan,103602270.0,nan
1730219364.5701811,804.2491,803.0403,811.0989,809.4872,nan,nan,,,,,,,,,
1730219364.5740829,809.89014,806.6667,812.3077,820.3663,nan,nan,,,,,,,,,
1730219364.5779846,807.0696,803.44324,804.2491,818.7546,nan,nan,,,,,,,,,
1730219364.5804520,,,,,,,,,,1689890.1,1607692.2,,,,
1730219364.5818863,807.8755,800.2198,808.2784,809.89014,nan,nan,,,,,,,,,
1730219364.5835149,,,,,,,0.17382812,0.20056152,0.94122314,,,,,,
1730219364.5845499,,,,,,,,,,,,,nan,103626450.0,nan
1730219364.5857880,810.293,806.26373,815.12823,811.0989,nan,nan,,,,,,,,,
1730219364.5896897,809.4872,809.4872,815.12823,815.12823,nan,nan,,,,,,,,,
1730219364.5935915,812.71063,803.44324,812.3077,812.71063,nan,nan,,,,,,,,,
1730219364.5974932,805.4579,797.3993,804.65204,805.8608,nan,nan,,,,,,,,,
1730219364.6001580,,,,,,,,,,,,,nan,103639340.0,nan
1730219364.6013949,799.81683,803.8461,801.4286,801.4286,nan,nan,,,,,,,,,
1730219364.6024179,,,,,,,0.17388916,0.20269775,0.94799805,,,,,,
1730219364.6052966,797.3993,807.0696,805.4579,803.0403,nan,nan,,,,,,,,,
1730219364.6091983,800.6227,803.44324,806.6667,811.9048,nan,nan,,,,,,,,,
1730219364.6131001,802.23444,803.44324,805.8608,808.68134,nan,nan,,,,,,,,,
1730219364.6156299,,,,,,,,,,1690696.0,1607692.2,,,,
1730219364.6157663,,,,,,,,,,,,,nan,103666740.0,nan
1730219364.6170018,794.9817,804.2491,804.65204,801.02563,nan,nan,,,,,,,,,
1730219364.6209035,800.2198,801.02563,802.6374,810.293,nan,nan,,,,,,,,,
1730219364.6213210,,,,,,,0.17895508,0.19873047,0.9484863,,,,,,
1730219364.6248052,800.2198,795.78754,799.011,808.68134,nan,nan,,,,,,,,,
1730219364.6287069,796.5934,794.17584,804.2491,807.0696,nan,nan,,,,,,,,,
1730219364.6313744,,,,,,,,,,,,,nan,103661096.0,nan
1730219364.6326087,804.65204,799.011,811.9048,806.26373,nan,nan,,,,,,,,,
1730219364.6365104,804.2491,799.81683,806.6667,802.6374,nan,nan,,,,,,,,,
1730219364.6402240,,,,,,,0.18103027,0.19671631,0.94732666,,,,,,
1730219364.6404121,797.8022,794.17584,801.02563,807.47253,nan,nan,,,,,,,,,
1730219364.6443138,802.23444,798.60803,799.41394,808.68134,nan,nan,,,,,,,,,
1730219364.6469827,,,,,,,,,,,,,nan,103646590.0,nan
1730219364.6482155,798.20514,807.0696,803.8461,801.4286,nan,nan,,,,,,,,,
1730219364.6508079,,,,,,,,,,1690696.0,1607692.2,,,,
1730219364.6521173,793.7729,800.2198,809.89014,805.8608,nan,nan,,,,,,,,,
1730219364.6560190,799.011,801.4286,811.9048,812.71063,nan,nan,,,,,,,,,
1730219364.6591270,,,,,,,0.18695068,0.19885254,0.9553833,,,,,,
1730219364.6599207,798.20514,803.44324,811.50183,811.0989,nan,nan,,,,,,,,,
1730219364.6625907,,,,,,,,,,,,,nan,103628860.0,nan
1730219364.6638224,790.9524,794.17584,811.9048,809.4872,nan,nan,,,,,,,,,
1730219364.6677239,794.17584,794.9817,812.3077,809.0842,nan,nan,,,,,,,,,
1730219364.6716256,795.78754,799.81683,813.91943,805.8608,nan,nan,,,,,,,,,
1730219364.6755273,799.81683,801.02563,815.5311,805.8608,nan,nan,,,,,,,,,
1730219364.6780300,,,,,,,0.18591309,0.20281982,0.94281006,,,,,,
1730219364.6781991,,,,,,,,,,,,,nan,103592600.0,nan
